Date,Plat_ID,Platform,Product_State,Product_Title,Original_Price,Discount_Price,Product_Link
2024-05-04,001,sasa,現有現貨,SK-II 賦能煥采眼霜 15克,780.0,420.0,https://www.sasa.com.hk/SalePage/Index/329001
2024-05-04,001,sasa,現有現貨,【網店限定】Estee Lauder 再生基因雙層銀箔修護面膜 1片裝,190.0,62.0,https://www.sasa.com.hk/SalePage/Index/297546
2024-05-04,001,sasa,現有現貨,Banila Co 緻柔卸妝膏 180亳升,248.0,148.0,https://www.sasa.com.hk/SalePage/Index/281034
2024-05-04,001,sasa,現有現貨,Clé de Peau 基礎保養精華乳組 3件裝,2835.0,1495.0,https://www.sasa.com.hk/SalePage/Index/9893
2024-05-04,001,sasa,現有現貨,Lancome 全方位防禦抗曬清爽乳霜SPF 50 / PA ++++,635.0,379.0,https://www.sasa.com.hk/SalePage/Index/7385
2024-05-04,001,sasa,現有現貨,Balea 7天深層補水膠囊 7粒裝,25.0,20.0,https://www.sasa.com.hk/SalePage/Index/7320
2024-05-04,001,sasa,現有現貨,SK-II 護膚精華 30毫升,215.0,145.0,https://www.sasa.com.hk/SalePage/Index/6938
2024-05-04,001,sasa,現有現貨,DR.CI-LABO 零毛孔細緻化妝水 200亳升,275.0,135.0,https://www.sasa.com.hk/SalePage/Index/380244
2024-05-04,001,sasa,現有現貨,Clé de Peau 高效煥活眼霜 2毫升,308.0,99.0,https://www.sasa.com.hk/SalePage/Index/367878
2024-05-04,001,sasa,現有現貨,SK-II Skinpower 致臻能量精華霜 100克,1590.0,960.0,https://www.sasa.com.hk/SalePage/Index/365498
2024-05-04,001,sasa,現有現貨,Sulwhasoo 與潤夜間煥活面膜 120毫升,410.0,178.0,https://www.sasa.com.hk/SalePage/Index/353244
2024-05-04,001,sasa,現有現貨,SK-II 肌源鑽光精華 新一代小燈泡 50毫升,1880.0,1098.0,https://www.sasa.com.hk/SalePage/Index/338215
2024-05-04,001,sasa,現有現貨,SK-II淨肌護膚潔面乳 120克,510.0,310.0,https://www.sasa.com.hk/SalePage/Index/328808
2024-05-04,001,sasa,現有現貨,Innisfree 火山泥溫和潔面膏 150克,80.0,53.0,https://www.sasa.com.hk/SalePage/Index/314156
2024-05-04,001,sasa,現有現貨,【網店限定】Dr.BSC 10％極高濃度咖啡因眼周精華 30毫升,395.0,159.0,https://www.sasa.com.hk/SalePage/Index/300136
2024-05-04,001,sasa,現有現貨,Sofina 持久控油防曬調色底霜 SPF50 PA+++ 25毫升,240.0,192.0,https://www.sasa.com.hk/SalePage/Index/297639
2024-05-04,001,sasa,現有現貨,VT 積雪草老虎補水修護精華面膜 5片裝,160.0,128.0,https://www.sasa.com.hk/SalePage/Index/258351
2024-05-04,001,sasa,現有現貨,Clarins 賦活精華眼霜 2 In 1 20毫升,630.0,536.0,https://www.sasa.com.hk/SalePage/Index/249978
